id,t,sp,unit,r_flw,f_flw,rpm_cmd,rpm_sp,sps,top,cal%,vol_uL,mass_g,pumpOn
3,835602,37,rpm,0,0,0.0,36.5,0,0,0,2,0.002,0
3,835622,37,rpm,0,0,36.5,36.5,3893,500,0,0,0.0,1
3,835643,37,rpm,83,0,36.5,36.5,3893,500,0,0,0.0,1
3,835663,37,rpm,199,0,36.5,36.5,3893,500,0,0,0.0,1
3,835684,37,rpm,51,0,36.5,36.5,3893,500,0,0,0.0,1
3,835705,37,rpm,39,0,36.5,36.5,3893,500,0,0,0.0,1
3,835725,37,rpm,18,0,36.5,36.5,3893,500,0,0,0.0,1
3,835746,37,rpm,10,0,36.5,36.5,3893,500,0,0,0.0,1
3,835766,37,rpm,8,0,36.5,36.5,3893,500,0,0,0.0,1
3,835786,37,rpm,20,0,36.5,36.5,3893,500,0,0,0.0,1
3,835807,37,rpm,120,0,36.5,36.5,3893,500,0,0,0.0,1
3,835827,37,rpm,525,0,36.5,36.5,3893,500,0,0,0.0,1
3,835848,37,rpm,861,0,36.5,36.5,3893,500,0,0,0.0,1
3,835868,37,rpm,938,0,36.5,36.5,3893,500,0,0,0.0,1
3,835889,37,rpm,825,0,36.5,36.5,3893,500,0,0,0.0,1
3,835909,37,rpm,562,0,36.5,36.5,3893,500,0,0,0.0,1
3,835929,37,rpm,388,0,36.5,36.5,3893,500,0,0,0.0,1
3,835950,37,rpm,283,0,36.5,36.5,3893,500,0,0,0.0,1
3,835970,37,rpm,86,0,36.5,36.5,3893,500,0,0,0.0,1
3,835991,37,rpm,19,0,36.5,36.5,3893,500,0,0,0.0,1
3,836011,37,rpm,12,0,36.5,36.5,3893,500,0,0,0.0,1
3,836032,37,rpm,21,0,36.5,36.5,3893,500,0,0,0.0,1
3,836052,37,rpm,128,0,36.5,36.5,3893,500,0,0,0.0,1
3,836073,37,rpm,480,0,36.5,36.5,3893,500,0,0,0.0,1
3,836093,37,rpm,683,0,36.5,36.5,3893,500,0,0,0.0,1
3,836113,37,rpm,858,0,36.5,36.5,3893,500,0,0,0.0,1
3,836134,37,rpm,817,0,36.5,36.5,3893,500,0,0,0.0,1
3,836154,37,rpm,665,0,36.5,36.5,3893,500,0,0,0.0,1
3,836175,37,rpm,507,0,36.5,36.5,3893,500,0,0,0.0,1
3,836195,37,rpm,401,0,36.5,36.5,3893,500,0,0,0.0,1
3,836215,37,rpm,214,0,36.5,36.5,3893,500,0,0,0.0,1
3,836236,37,rpm,28,0,36.5,36.5,3893,500,0,0,0.0,1
3,836256,37,rpm,16,0,36.5,36.5,3893,500,0,0,0.0,1
3,836277,37,rpm,22,1,36.5,36.5,3893,500,0,0,0.0,1
3,836297,37,rpm,111,1,36.5,36.5,3893,500,0,0,0.0,1
3,836318,37,rpm,465,1,36.5,36.5,3893,500,0,0,0.0,1
3,836338,37,rpm,685,1,36.5,36.5,3893,500,0,0,0.0,1
3,836358,37,rpm,807,1,36.5,36.5,3893,500,0,0,0.0,1
3,836379,37,rpm,790,1,36.5,36.5,3893,500,0,0,0.0,1
3,836399,37,rpm,720,1,36.5,36.5,3893,500,0,0,0.0,1
3,836420,37,rpm,573,1,36.5,36.5,3893,500,0,0,0.0,1
3,836440,37,rpm,462,1,36.5,36.5,3893,500,0,0,0.0,1
3,836461,37,rpm,364,1,36.5,36.5,3893,500,0,0,0.0,1
3,836481,37,rpm,80,1,36.5,36.5,3893,500,0,0,0.0,1
3,836501,37,rpm,19,2,36.5,36.5,3893,500,0,0,0.0,1
3,836522,37,rpm,16,2,36.5,36.5,3893,500,0,0,0.0,1
3,836542,37,rpm,43,2,36.5,36.5,3893,500,0,0,0.0,1
3,836563,37,rpm,245,2,36.5,36.5,3893,500,0,0,0.0,1
3,836583,37,rpm,587,2,36.5,36.5,3893,500,0,0,0.0,1
3,836604,37,rpm,697,2,36.5,36.5,3893,500,0,0,0.0,1
3,836624,37,rpm,738,3,36.5,36.5,3893,500,0,0,0.0,1
3,836645,37,rpm,709,3,36.5,36.5,3893,500,0,0,0.0,1
3,836665,37,rpm,591,3,36.5,36.5,3893,500,0,0,0.0,1
3,836685,37,rpm,479,3,36.5,36.5,3893,500,0,0,0.0,1
3,836706,37,rpm,392,3,36.5,36.5,3893,500,0,0,0.0,1
3,836726,37,rpm,191,4,36.5,36.5,3893,500,0,0,0.0,1
3,836747,37,rpm,25,4,36.5,36.5,3893,500,0,0,0.0,1
3,836767,37,rpm,14,4,36.5,36.5,3893,500,0,0,0.0,1
3,836788,37,rpm,20,5,36.5,36.5,3893,500,0,0,0.0,1
3,836808,37,rpm,91,5,36.5,36.5,3893,500,0,0,0.0,1
3,836829,37,rpm,353,5,36.5,36.5,3893,500,0,0,0.0,1
3,836849,37,rpm,620,6,36.5,36.5,3893,500,0,0,0.0,1
3,836869,37,rpm,838,6,36.5,36.5,3893,500,0,0,0.0,1
3,836909,37,rpm,782,6,36.5,36.5,3893,500,0,0,0.0,1
3,836930,37,rpm,553,7,36.5,36.5,3893,500,0,0,0.0,1
3,836950,37,rpm,388,7,36.5,36.5,3893,500,0,0,0.0,1
3,836971,37,rpm,309,8,36.5,36.5,3893,500,0,0,0.0,1
3,836991,37,rpm,159,8,36.5,36.5,3893,500,0,0,0.0,1
3,837012,37,rpm,23,8,36.5,36.5,3893,500,0,0,0.0,1
3,837032,37,rpm,13,9,36.5,36.5,3893,500,0,0,0.0,1
3,837053,37,rpm,17,9,36.5,36.5,3893,500,0,0,0.0,1
3,837073,37,rpm,83,10,36.5,36.5,3893,500,0,0,0.0,1
3,837094,37,rpm,342,10,36.5,36.5,3893,500,0,0,0.0,1
3,837114,37,rpm,598,11,36.5,36.5,3893,500,0,0,0.0,1
3,837134,37,rpm,791,12,36.5,36.5,3893,500,0,0,0.0,1
3,837155,37,rpm,775,12,36.5,36.5,3893,500,0,0,0.0,1
3,837175,37,rpm,672,13,36.5,36.5,3893,500,0,0,0.0,1
3,837196,37,rpm,501,13,36.5,36.5,3893,500,0,0,0.0,1
3,837216,37,rpm,369,14,36.5,36.5,3893,500,0,0,0.0,1
3,837237,37,rpm,308,15,36.5,36.5,3893,500,0,0,0.0,1
3,837257,37,rpm,86,15,36.5,36.5,3893,500,0,0,0.0,1
3,837278,37,rpm,19,16,36.5,36.5,3893,500,0,0,0.0,1
3,837298,37,rpm,13,17,36.5,36.5,3893,500,0,0,0.0,1
3,837319,37,rpm,32,18,36.5,36.5,3893,500,0,0,0.0,1
3,837339,37,rpm,190,18,36.5,36.5,3893,500,0,0,0.0,1
3,837360,37,rpm,535,19,36.5,36.5,3893,500,0,0,0.0,1
3,837380,37,rpm,814,20,36.5,36.5,3893,500,0,0,0.0,1
3,837400,37,rpm,856,21,36.5,36.5,3893,500,0,0,0.0,1
3,837421,37,rpm,775,22,36.5,36.5,3893,500,0,0,0.0,1
3,837441,37,rpm,582,22,36.5,36.5,3893,500,0,0,0.0,1
3,837462,37,rpm,417,23,36.5,36.5,3893,500,0,0,0.0,1
3,837482,37,rpm,293,24,36.5,36.5,3893,500,0,0,0.0,1
3,837503,37,rpm,200,25,36.5,36.5,3893,500,0,0,0.0,1
3,837523,37,rpm,33,26,36.5,36.5,3893,500,0,0,0.0,1
3,837544,37,rpm,14,27,36.5,36.5,3893,500,0,0,0.0,1
3,837564,37,rpm,15,28,36.5,36.5,3893,500,0,0,0.0,1
3,837585,37,rpm,61,29,36.5,36.5,3893,500,0,0,0.0,1
3,837605,37,rpm,358,30,36.5,36.5,3893,500,0,0,0.0,1
3,837626,37,rpm,633,31,36.5,36.5,3893,500,0,0,0.0,1
3,837646,37,rpm,711,32,36.5,36.5,3893,500,0,0,0.0,1
3,837667,37,rpm,813,33,36.5,36.5,3893,500,0,0,0.0,1
3,837687,37,rpm,673,34,36.5,36.5,3893,500,0,0,0.0,1
3,837707,37,rpm,542,35,36.5,36.5,3893,500,0,0,0.0,1
3,837728,37,rpm,411,37,36.5,36.5,3893,500,0,0,0.0,1
3,837748,37,rpm,329,38,36.5,36.5,3893,500,0,0,0.0,1
3,837769,37,rpm,70,39,36.5,36.5,3893,500,0,0,0.0,1
3,837789,37,rpm,19,40,36.5,36.5,3893,500,0,0,0.0,1
3,837810,37,rpm,15,41,36.5,36.5,3893,500,0,0,0.0,1
3,837830,37,rpm,42,43,36.5,36.5,3893,500,0,0,0.0,1
3,837851,37,rpm,282,44,36.5,36.5,3893,500,0,0,0.0,1
3,837871,37,rpm,588,45,36.5,36.5,3893,500,0,0,0.0,1
3,837891,37,rpm,714,47,36.5,36.5,3893,500,0,0,0.0,1
3,837912,37,rpm,763,48,36.5,36.5,3893,500,0,0,0.0,1
3,837932,37,rpm,736,49,36.5,36.5,3893,500,0,0,0.0,1
3,837953,37,rpm,611,51,36.5,36.5,3893,500,0,0,0.0,1
3,837973,37,rpm,488,52,36.5,36.5,3893,500,0,0,0.0,1
3,837994,37,rpm,398,53,36.5,36.5,3893,500,0,0,0.0,1
3,838014,37,rpm,239,55,36.5,36.5,3893,500,0,1,0.0,1
3,838035,37,rpm,30,56,36.5,36.5,3893,500,0,1,0.001,1
3,838055,37,rpm,14,58,36.5,36.5,3893,500,0,1,0.001,1
3,838076,37,rpm,19,59,36.5,36.5,3893,500,0,1,0.001,1
3,838096,37,rpm,104,61,36.5,36.5,3893,500,0,1,0.001,1
3,838117,37,rpm,433,62,36.5,36.5,3893,500,0,1,0.001,1
3,838137,37,rpm,636,64,36.5,36.5,3893,500,0,1,0.001,1
3,838157,37,rpm,691,66,36.5,36.5,3893,500,0,1,0.001,1
3,838178,37,rpm,706,67,36.5,36.5,3893,500,0,1,0.001,1
3,838198,37,rpm,627,69,36.5,36.5,3893,500,0,1,0.001,1
3,838219,37,rpm,508,70,36.5,36.5,3893,500,0,1,0.001,1
3,838239,37,rpm,425,72,36.5,36.5,3893,500,0,1,0.001,1
3,838260,37,rpm,327,74,36.5,36.5,3893,500,0,1,0.001,1
3,838280,37,rpm,55,75,36.5,36.5,3893,500,0,1,0.001,1
3,838301,37,rpm,16,77,36.5,36.5,3893,500,0,1,0.001,1
3,838321,37,rpm,14,79,36.5,36.5,3893,500,0,1,0.001,1
3,838342,37,rpm,38,81,36.5,36.5,3893,500,0,1,0.001,1
3,838362,37,rpm,209,82,36.5,36.5,3893,500,0,1,0.001,1
3,838382,37,rpm,529,84,36.5,36.5,3893,500,0,1,0.001,1
3,838403,37,rpm,753,86,36.5,36.5,3893,500,0,1,0.001,1
3,838423,37,rpm,851,88,36.5,36.5,3893,500,0,1,0.001,1
3,838444,37,rpm,760,89,36.5,36.5,3893,500,0,1,0.001,1
3,838464,37,rpm,594,91,36.5,36.5,3893,500,0,1,0.001,1
3,838485,37,rpm,446,93,36.5,36.5,3893,500,0,1,0.001,1
3,838505,37,rpm,317,95,36.5,36.5,3893,500,0,1,0.001,1
3,838526,37,rpm,257,97,36.5,36.5,3893,500,0,1,0.001,1
3,838546,37,rpm,41,99,36.5,36.5,3893,500,0,1,0.001,1
3,838566,37,rpm,15,101,36.5,36.5,3893,500,0,1,0.001,1
3,838587,37,rpm,12,103,36.5,36.5,3893,500,0,1,0.001,1
3,838607,37,rpm,40,105,36.5,36.5,3893,500,0,1,0.001,1
3,838628,37,rpm,227,106,36.5,36.5,3893,500,0,1,0.001,1
3,838648,37,rpm,516,108,36.5,36.5,3893,500,0,1,0.001,1
3,838669,37,rpm,738,110,36.5,36.5,3893,500,0,1,0.001,1
3,838689,37,rpm,786,112,36.5,36.5,3893,500,0,1,0.001,1
3,838710,37,rpm,709,114,36.5,36.5,3893,500,0,1,0.001,1
3,838730,37,rpm,542,116,36.5,36.5,3893,500,0,2,0.001,1
3,838751,37,rpm,385,118,36.5,36.5,3893,500,0,2,0.002,1
3,838771,37,rpm,311,120,36.5,36.5,3893,500,0,2,0.002,1
3,838792,37,rpm,194,123,36.5,36.5,3893,500,0,2,0.002,1
3,838812,37,rpm,27,125,36.5,36.5,3893,500,0,2,0.002,1
3,838833,37,rpm,13,127,36.5,36.5,3893,500,0,2,0.002,1
3,838853,37,rpm,16,129,36.5,36.5,3893,500,0,2,0.002,1
3,838874,37,rpm,92,131,36.5,36.5,3893,500,0,2,0.002,1
3,838894,37,rpm,389,133,36.5,36.5,3893,500,0,2,0.002,1
3,838915,37,rpm,700,135,36.5,36.5,3893,500,0,2,0.002,1
3,838935,37,rpm,864,137,36.5,36.5,3893,500,0,2,0.002,1
3,838955,37,rpm,797,139,36.5,36.5,3893,500,0,2,0.002,1
3,838976,37,rpm,651,141,36.5,36.5,3893,500,0,2,0.002,1
3,838996,37,rpm,473,144,36.5,36.5,3893,500,0,2,0.002,1
3,839017,37,rpm,330,146,36.5,36.5,3893,500,0,2,0.002,1
3,839037,37,rpm,258,148,36.5,36.5,3893,500,0,2,0.002,1
3,839058,37,rpm,79,150,36.5,36.5,3893,500,0,2,0.002,1
3,839078,37,rpm,17,152,36.5,36.5,3893,500,0,2,0.002,1
3,839099,37,rpm,12,154,36.5,36.5,3893,500,0,2,0.002,1
3,839119,37,rpm,30,157,36.5,36.5,3893,500,0,2,0.002,1
3,839140,37,rpm,219,159,36.5,36.5,3893,500,0,2,0.002,1
3,839160,37,rpm,559,161,36.5,36.5,3893,500,0,3,0.002,1
3,839181,37,rpm,668,163,36.5,36.5,3893,500,0,3,0.003,1
3,839201,37,rpm,777,165,36.5,36.5,3893,500,0,3,0.003,1
3,839222,37,rpm,740,168,36.5,36.5,3893,500,0,3,0.003,1
3,839242,37,rpm,591,170,36.5,36.5,3893,500,0,3,0.003,1
3,839263,37,rpm,454,172,36.5,36.5,3893,500,0,3,0.003,1
3,839283,37,rpm,367,174,36.5,36.5,3893,500,0,3,0.003,1
3,839304,37,rpm,191,177,36.5,36.5,3893,500,0,3,0.003,1
3,839324,37,rpm,25,179,36.5,36.5,3893,500,0,3,0.003,1
3,839345,37,rpm,13,181,36.5,36.5,3893,500,0,3,0.003,1
3,839365,37,rpm,20,183,36.5,36.5,3893,500,0,3,0.003,1
3,839386,37,rpm,130,185,36.5,36.5,3893,500,0,3,0.003,1
3,839406,37,rpm,505,188,36.5,36.5,3893,500,0,3,0.003,1
3,839427,37,rpm,650,190,36.5,36.5,3893,500,0,3,0.003,1
3,839447,37,rpm,754,192,36.5,36.5,3893,500,0,3,0.003,1
3,839467,37,rpm,735,194,36.5,36.5,3893,500,0,3,0.003,1
3,839488,37,rpm,668,197,36.5,36.5,3893,500,0,4,0.003,1
3,839508,37,rpm,534,199,36.5,36.5,3893,500,0,4,0.003,1
3,839529,37,rpm,429,201,36.5,36.5,3893,500,0,4,0.004,1
3,839549,37,rpm,332,203,36.5,36.5,3893,500,0,4,0.004,1
3,839570,37,rpm,54,206,36.5,36.5,3893,500,0,4,0.004,1
3,839590,37,rpm,16,208,36.5,36.5,3893,500,0,4,0.004,1
3,839611,37,rpm,16,210,36.5,36.5,3893,500,0,4,0.004,1
3,839631,37,rpm,56,212,36.5,36.5,3893,500,0,4,0.004,1
3,839652,37,rpm,315,215,36.5,36.5,3893,500,0,4,0.004,1
3,839672,37,rpm,572,217,36.5,36.5,3893,500,0,4,0.004,1
3,839693,37,rpm,694,219,36.5,36.5,3893,500,0,4,0.004,1
3,839713,37,rpm,706,221,36.5,36.5,3893,500,0,4,0.004,1
3,839734,37,rpm,678,223,36.5,36.5,3893,500,0,4,0.004,1
3,839754,37,rpm,551,226,36.5,36.5,3893,500,0,4,0.004,1
3,839775,37,rpm,453,228,36.5,36.5,3893,500,0,5,0.004,1
3,839795,37,rpm,368,230,36.5,36.5,3893,500,0,5,0.004,1
3,839816,37,rpm,156,232,36.5,36.5,3893,500,0,5,0.005,1
3,839836,37,rpm,22,235,36.5,36.5,3893,500,0,5,0.005,1
3,839857,37,rpm,13,237,36.5,36.5,3893,500,0,5,0.005,1
3,839877,37,rpm,22,239,36.5,36.5,3893,500,0,5,0.005,1
3,839898,37,rpm,120,241,36.5,36.5,3893,500,0,5,0.005,1
3,839918,37,rpm,417,243,36.5,36.5,3893,500,0,5,0.005,1
3,839939,37,rpm,639,245,36.5,36.5,3893,500,0,5,0.005,1
3,839959,37,rpm,842,248,36.5,36.5,3893,500,0,5,0.005,1
3,839980,37,rpm,797,250,36.5,36.5,3893,500,0,5,0.005,1
3,840000,37,rpm,664,252,36.5,36.5,3893,500,0,5,0.005,1
3,840021,37,rpm,496,254,36.5,36.5,3893,500,0,6,0.005,1
3,840041,37,rpm,344,256,36.5,36.5,3893,500,0,6,0.005,1
3,840062,37,rpm,289,258,36.5,36.5,3893,500,0,6,0.006,1
3,840082,37,rpm,111,260,36.5,36.5,3893,500,0,6,0.006,1
3,840103,37,rpm,19,263,36.5,36.5,3893,500,0,6,0.006,1
3,840123,37,rpm,11,265,36.5,36.5,3893,500,0,6,0.006,1
3,840144,37,rpm,22,267,36.5,36.5,3893,500,0,6,0.006,1
3,840164,37,rpm,133,269,36.5,36.5,3893,500,0,6,0.006,1
3,840185,37,rpm,429,271,36.5,36.5,3893,500,0,6,0.006,1
3,840205,37,rpm,668,273,36.5,36.5,3893,500,0,6,0.006,1
3,840226,37,rpm,813,275,36.5,36.5,3893,500,0,6,0.006,1
3,840246,37,rpm,753,277,36.5,36.5,3893,500,0,7,0.006,1
3,840267,37,rpm,610,279,36.5,36.5,3893,500,0,7,0.006,1
3,840287,37,rpm,443,281,36.5,36.5,3893,500,0,7,0.007,1
3,840308,37,rpm,326,283,36.5,36.5,3893,500,0,7,0.007,1
3,840328,37,rpm,271,285,36.5,36.5,3893,500,0,7,0.007,1
3,840349,37,rpm,43,287,36.5,36.5,3893,500,0,7,0.007,1
3,840369,37,rpm,15,289,36.5,36.5,3893,500,0,7,0.007,1
3,840390,37,rpm,13,291,36.5,36.5,3893,500,0,7,0.007,1
3,840410,37,rpm,47,293,36.5,36.5,3893,500,0,7,0.007,1
3,840431,37,rpm,271,295,36.5,36.5,3893,500,0,7,0.007,1
3,840451,37,rpm,624,297,36.5,36.5,3893,500,0,8,0.007,1
3,840472,37,rpm,827,299,36.5,36.5,3893,500,0,8,0.007,1
3,840492,37,rpm,823,301,36.5,36.5,3893,500,0,8,0.007,1
3,840512,37,rpm,709,303,36.5,36.5,3893,500,0,8,0.008,1
3,840533,37,rpm,515,304,36.5,36.5,3893,500,0,8,0.008,1
3,840553,37,rpm,367,306,36.5,36.5,3893,500,0,8,0.008,1
3,840574,37,rpm,267,308,36.5,36.5,3893,500,0,8,0.008,1
3,840594,37,rpm,145,310,36.5,36.5,3893,500,0,8,0.008,1
3,840615,37,rpm,23,312,36.5,36.5,3893,500,0,8,0.008,1
3,840635,37,rpm,12,314,36.5,36.5,3893,500,0,8,0.008,1
3,840656,37,rpm,18,315,36.5,36.5,3893,500,0,9,0.008,1
3,840676,37,rpm,119,317,36.5,36.5,3893,500,0,9,0.008,1
3,840697,37,rpm,484,319,36.5,36.5,3893,500,0,9,0.009,1
3,840717,37,rpm,632,321,36.5,36.5,3893,500,0,9,0.009,1
3,840738,37,rpm,770,322,36.5,36.5,3893,500,0,9,0.009,1
3,840758,37,rpm,780,324,36.5,36.5,3893,500,0,9,0.009,1
3,840779,37,rpm,626,326,36.5,36.5,3893,500,0,9,0.009,1
3,840799,37,rpm,487,328,36.5,36.5,3893,500,0,9,0.009,1
3,840820,37,rpm,370,329,36.5,36.5,3893,500,0,9,0.009,1
3,840840,37,rpm,263,331,36.5,36.5,3893,500,0,10,0.009,1
3,840861,37,rpm,32,333,36.5,36.5,3893,500,0,10,0.009,1
3,840881,37,rpm,15,334,36.5,36.5,3893,500,0,10,0.009,1
3,840902,37,rpm,16,336,36.5,36.5,3893,500,0,10,0.01,1
3,840922,37,rpm,72,337,36.5,36.5,3893,500,0,10,0.01,1
3,840943,37,rpm,405,339,36.5,36.5,3893,500,0,10,0.01,1
3,840963,37,rpm,628,341,36.5,36.5,3893,500,0,10,0.01,1
3,840984,37,rpm,742,342,36.5,36.5,3893,500,0,10,0.01,1
3,841005,37,rpm,739,344,36.5,36.5,3893,500,0,10,0.01,1
3,841025,37,rpm,701,345,36.5,36.5,3893,500,0,11,0.01,1
3,841046,37,rpm,567,347,36.5,36.5,3893,500,0,11,0.01,1
3,841066,37,rpm,457,348,36.5,36.5,3893,500,0,11,0.011,1
3,841087,37,rpm,356,350,36.5,36.5,3893,500,0,11,0.011,1
3,841107,37,rpm,142,351,36.5,36.5,3893,500,0,11,0.011,1
3,841128,37,rpm,21,352,36.5,36.5,3893,500,0,11,0.011,1
3,841148,37,rpm,13,354,36.5,36.5,3893,500,0,11,0.011,1
3,841169,37,rpm,30,355,36.5,36.5,3893,500,0,11,0.011,1
3,841189,37,rpm,200,357,36.5,36.5,3893,500,0,12,0.011,1
3,841210,37,rpm,534,358,36.5,36.5,3893,500,0,12,0.011,1
3,841230,37,rpm,661,359,36.5,36.5,3893,500,0,12,0.011,1
3,841251,37,rpm,715,361,36.5,36.5,3893,500,0,12,0.012,1
3,841271,37,rpm,677,362,36.5,36.5,3893,500,0,12,0.012,1
3,841292,37,rpm,587,363,36.5,36.5,3893,500,0,12,0.012,1
3,841312,37,rpm,468,365,36.5,36.5,3893,500,0,12,0.012,1
3,841333,37,rpm,384,366,36.5,36.5,3893,500,0,12,0.012,1
3,841353,37,rpm,230,367,36.5,36.5,3893,500,0,13,0.012,1
3,841374,37,rpm,26,368,36.5,36.5,3893,500,0,13,0.012,1
3,841394,37,rpm,13,369,36.5,36.5,3893,500,0,13,0.012,1
3,841415,37,rpm,17,371,36.5,36.5,3893,500,0,13,0.013,1
3,841435,37,rpm,79,372,36.5,36.5,3893,500,0,13,0.013,1
3,841456,37,rpm,349,373,36.5,36.5,3893,500,0,13,0.013,1
3,841476,37,rpm,609,374,36.5,36.5,3893,500,0,13,0.013,1
3,841497,37,rpm,820,375,36.5,36.5,3893,500,0,13,0.013,1
3,841518,37,rpm,809,376,36.5,36.5,3893,500,0,14,0.013,1
3,841538,37,rpm,687,377,36.5,36.5,3893,500,0,14,0.013,1
3,841559,37,rpm,526,379,36.5,36.5,3893,500,0,14,0.013,1
3,841579,37,rpm,376,380,36.5,36.5,3893,500,0,14,0.014,1
3,841600,37,rpm,297,381,36.5,36.5,3893,500,0,14,0.014,1
3,841620,37,rpm,164,382,36.5,36.5,3893,500,0,14,0.014,1
3,841641,37,rpm,23,383,36.5,36.5,3893,500,0,14,0.014,1
3,841661,37,rpm,11,384,36.5,36.5,3893,500,0,14,0.014,1
3,841682,37,rpm,17,385,36.5,36.5,3893,500,0,15,0.014,1
3,841702,37,rpm,90,385,36.5,36.5,3893,500,0,15,0.014,1
3,841723,37,rpm,364,386,36.5,36.5,3893,500,0,15,0.014,1
3,841744,37,rpm,601,387,36.5,36.5,3893,500,0,15,0.015,1
3,841764,37,rpm,776,388,36.5,36.5,3893,500,0,15,0.015,1
3,841785,37,rpm,740,389,36.5,36.5,3893,500,0,15,0.015,1
3,841805,37,rpm,641,390,36.5,36.5,3893,500,0,15,0.015,1
3,841826,37,rpm,465,391,36.5,36.5,3893,500,0,16,0.015,1
3,841846,37,rpm,343,392,36.5,36.5,3893,500,0,16,0.015,1
3,841867,37,rpm,290,392,36.5,36.5,3893,500,0,16,0.015,1
3,841887,37,rpm,75,393,36.5,36.5,3893,500,0,16,0.015,1
3,841908,37,rpm,16,394,36.5,36.5,3893,500,0,16,0.016,1
3,841928,37,rpm,12,395,36.5,36.5,3893,500,0,16,0.016,1
3,841949,37,rpm,37,395,36.5,36.5,3893,500,0,16,0.016,1
3,841969,37,rpm,229,396,36.5,36.5,3893,500,0,16,0.016,1
3,841990,37,rpm,574,397,36.5,36.5,3893,500,0,17,0.016,1
3,842011,37,rpm,807,398,36.5,36.5,3893,500,0,17,0.016,1
3,842031,37,rpm,833,398,36.5,36.5,3893,500,0,17,0.016,1
3,842052,37,rpm,739,399,36.5,36.5,3893,500,0,17,0.017,1
3,842072,37,rpm,549,400,36.5,36.5,3893,500,0,17,0.017,1
3,842093,37,rpm,393,400,36.5,36.5,3893,500,0,17,0.017,1
3,842113,37,rpm,282,401,36.5,36.5,3893,500,0,17,0.017,1
3,842134,37,rpm,182,401,36.5,36.5,3893,500,0,18,0.017,1
3,842154,37,rpm,25,402,36.5,36.5,3893,500,0,18,0.017,1
3,842175,37,rpm,12,402,36.5,36.5,3893,500,0,18,0.017,1
3,842195,37,rpm,15,403,36.5,36.5,3893,500,0,18,0.017,1
3,842216,37,rpm,85,403,36.5,36.5,3893,500,0,18,0.018,1
3,842236,37,rpm,425,404,36.5,36.5,3893,500,0,18,0.018,1
3,842257,37,rpm,618,404,36.5,36.5,3893,500,0,18,0.018,1
3,842277,37,rpm,727,405,36.5,36.5,3893,500,0,19,0.018,1
3,842298,37,rpm,768,405,36.5,36.5,3893,500,0,19,0.018,1
3,842318,37,rpm,647,406,36.5,36.5,3893,500,0,19,0.018,1
3,842339,37,rpm,508,406,36.5,36.5,3893,500,0,19,0.018,1
3,842359,37,rpm,401,407,36.5,36.5,3893,500,0,19,0.019,1
3,842380,37,rpm,318,407,36.5,36.5,3893,500,0,19,0.019,1
3,842400,37,rpm,50,407,36.5,36.5,3893,500,0,19,0.019,1
3,842421,37,rpm,15,408,36.5,36.5,3893,500,0,20,0.019,1
3,842441,37,rpm,13,408,36.5,36.5,3893,500,0,20,0.019,1
3,842462,37,rpm,48,409,36.5,36.5,3893,500,0,20,0.019,1
3,842482,37,rpm,333,409,36.5,36.5,3893,500,0,20,0.019,1
3,842503,37,rpm,617,409,36.5,36.5,3893,500,0,20,0.019,1
3,842523,37,rpm,723,409,36.5,36.5,3893,500,0,20,0.02,1
3,842544,37,rpm,740,410,36.5,36.5,3893,500,0,20,0.02,1
3,842564,37,rpm,703,410,36.5,36.5,3893,500,0,20,0.02,1
3,842585,37,rpm,579,410,36.5,36.5,3893,500,0,21,0.02,1
3,842605,37,rpm,468,411,36.5,36.5,3893,500,0,21,0.02,1
3,842626,37,rpm,375,411,36.5,36.5,3893,500,0,21,0.02,1
3,842646,37,rpm,183,411,36.5,36.5,3893,500,0,21,0.02,1
3,842667,37,rpm,23,411,36.5,36.5,3893,500,0,21,0.021,1
3,842687,37,rpm,12,411,36.5,36.5,3893,500,0,21,0.021,1
3,842707,37,rpm,23,411,36.5,36.5,3893,500,0,21,0.021,1
3,842728,37,rpm,143,412,36.5,36.5,3893,500,0,22,0.021,1
3,842749,37,rpm,491,412,36.5,36.5,3893,500,0,22,0.021,1
3,842769,37,rpm,637,412,36.5,36.5,3893,500,0,22,0.021,1
3,842790,37,rpm,713,412,36.5,36.5,3893,500,0,22,0.021,1
3,842810,37,rpm,687,412,36.5,36.5,3893,500,0,22,0.022,1
3,842831,37,rpm,606,412,36.5,36.5,3893,500,0,22,0.022,1
3,842851,37,rpm,485,412,36.5,36.5,3893,500,0,22,0.022,1
3,842872,37,rpm,400,412,36.5,36.5,3893,500,0,23,0.022,1
3,842892,37,rpm,289,412,36.5,36.5,3893,500,0,23,0.022,1
3,842913,37,rpm,32,413,36.5,36.5,3893,500,0,23,0.022,1
3,842933,37,rpm,14,413,36.5,36.5,3893,500,0,23,0.022,1
3,842954,37,rpm,14,413,36.5,36.5,3893,500,0,23,0.022,1
3,842974,37,rpm,51,413,36.5,36.5,3893,500,0,23,0.023,1
3,842995,37,rpm,274,413,36.5,36.5,3893,500,0,23,0.023,1
3,843015,37,rpm,559,413,36.5,36.5,3893,500,0,24,0.023,1
3,843036,37,rpm,788,413,36.5,36.5,3893,500,0,24,0.023,1
3,843057,37,rpm,824,413,36.5,36.5,3893,500,0,24,0.023,1
3,843077,37,rpm,721,412,36.5,36.5,3893,500,0,24,0.023,1
3,843097,37,rpm,559,412,36.5,36.5,3893,500,0,24,0.023,1
